channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
-324784,-4292149,-3278046,-3307172,-2614861,-3113178,-2945421,-8388608,1404688522.012,0
-325052,-4293681,-3279485,-3307227,-2614537,-3114995,-2946347,-8388608,1404688522.028,0
-324987,-4292547,-3278270,-3307079,-2614985,-3113479,-2945749,-8388608,1404688522.028,0
-324357,-4293306,-3279059,-3306167,-2613708,-3114668,-2945986,-8388608,1404688522.043,0
-324567,-4291334,-3276802,-3305274,-2614072,-3112052,-2944394,-8388608,1404688522.043,0
-324526,-4293381,-3279070,-3306002,-2613907,-3114561,-2946031,-8388608,1404688522.059,0
-324386,-4291838,-3276809,-3304175,-2613182,-3112559,-2944007,-8388608,1404688522.059,0
-324344,-4292147,-3277707,-3305796,-2614187,-3113046,-2945157,-8388608,1404688522.075,0
-324397,-4292370,-3277426,-3304154,-2613397,-3113120,-2944392,-8388608,1404688522.075,0
-324509,-4292347,-3278039,-3305838,-2614779,-3113295,-2945323,-8388608,1404688522.075,0
-324589,-4293243,-3278537,-3305384,-2614049,-3114180,-2945393,-8388608,1404688522.09,0
-324867,-4292679,-3278591,-3307089,-2615302,-3113595,-2945857,-8388608,1404688522.09,0
-324991,-4294098,-3280312,-3307942,-2615396,-3115423,-2947148,-8388608,1404688522.106,0
-325020,-4292097,-3277694,-3305841,-2614542,-3112969,-2944803,-8388608,1404688522.106,0
-324892,-4294130,-3280449,-3308328,-2615399,-3115322,-2947492,-8388608,1404688522.121,0
-325409,-4292992,-3278549,-3306336,-2614882,-3113829,-2945839,-8388608,1404688522.121,0
-325804,-4294521,-3280974,-3308851,-2616281,-3115781,-2948228,-8388608,1404688522.137,0
-325367,-4293284,-3278711,-3306016,-2614499,-3113914,-2945947,-8388608,1404688522.137,0
-325237,-4292484,-3278270,-3306464,-2614976,-3113191,-2945819,-8388608,1404688522.153,0
-325975,-4295181,-3281345,-3308194,-2616169,-3116175,-2948169,-8388608,1404688522.153,0
-325781,-4292863,-3278439,-3306395,-2615639,-3112929,-2945790,-8388608,1404688522.168,0
-326217,-4295641,-3281597,-3308530,-2616620,-3116032,-2948339,-8388608,1404688522.168,0
-326131,-4293494,-3278769,-3307091,-2616077,-3113028,-2945974,-8388608,1404688522.184,0
-326061,-4294254,-131072,514100,914350,5664626,-627691,6733983,1404688522.184,0
-326023,-4294496,-3280056,-3307601,-2615658,-3114171,-2946784,-8388608,1404688522.184,0
-325729,-4293442,-3279361,-3308321,-2616221,-3113002,-2946607,-8388608,1404688522.199,0
-325970,-4294653,-3280201,-3307931,-2615705,-3114257,-2947095,-8388608,1404688522.199,0
-325874,-4293264,-3279126,-3308435,-2616215,-3112534,-2946433,-8388608,1404688522.215,0
-325962,-4294755,-3281036,-3309512,-2616362,-3114418,-2899968,64262,1404688522.215,0
-325757,-4293242,-3278798,-3307049,-2615219,-3112380,-2945889,-8388608,1404688522.231,0
-325673,-4293927,-3280487,-3308481,-2615809,-3113813,-2947577,-8388608,1404688522.231,0
-326107,-4293813,-3279354,-3306732,-2615481,-3113116,-2946467,-8388608,1404688522.246,0
-325547,-4293948,-3280156,-3308022,-2616022,-3113569,-2947326,-8388608,1404688522.246,0
-325387,-4293752,-3279203,-3306233,-2615036,-3113042,-2946262,-8388608,1404688522.262,0
-325573,-4292389,-3278276,-3306490,-2615532,-3111783,-2945714,-8388608,1404688522.262,0
-326071,-4295251,-3281384,-3308587,-2616362,-3115391,-2948337,-8388608,1404688522.277,0
-325691,-4291836,-3277396,-3306051,-2615601,-3110892,-2944716,-8388608,1404688522.277,0
-326133,-4294802,-3280632,-3308876,-2617094,-3113584,-2947246,-8388608,1404688522.293,0
-326184,-4293426,-3278289,-3307602,-2616669,-3110966,-2945117,-8388608,1404688522.293,0
-326011,-4295633,-3281691,-3310702,-2617599,-3113829,-2948206,-8388608,1404688522.309,0
-326154,-4295706,-3281284,-3309980,-2617063,-3113597,-2947710,-8388608,1404688522.309,0
-326077,-4293801,-3279937,-3310206,-2617524,-3111506,-2946952,-8388608,1404688522.309,0
-326276,-4295494,-3281584,-3309722,-2616745,-3113496,-2948059,-8388608,1404688522.324,0
-326098,-4293302,-3279427,-3308872,-2616894,-3110974,-2946613,-8388608,1404688522.324,0
-326002,-4295326,-3281457,-3309283,-2616567,-3113216,-2948064,-8388608,1404688522.34,0
-325949,-4293481,-3279282,-3308506,-2616740,-3110715,-2946500,-8388608,1404688522.34,0
-326072,-4294636,-3280979,-3309877,-2617181,-3112246,-2947951,-8388608,1404688522.355,0
-326332,-4294629,-3280216,-3308326,-2616339,-3111947,-2946996,-8388608,1404688522.355,0
-326557,-4294417,-3280678,-3309621,-2617426,-3111934,-2947744,-8388608,1404688522.371,0
-326465,-4294501,-3280195,-3307984,-2616560,-3112210,-2947005,-8388608,1404688522.371,0
-326352,-4294264,-3280466,-3309308,-2617685,-3112056,-2947617,-8388608,1404688522.387,0
-326670,-4295822,-3281405,-3308899,-2617291,-3113471,-2948138,-8388608,1404688522.387,0
-326898,-4294631,-3280017,-3308768,-2617672,-3111956,-2947185,-8388608,1404688522.402,0
-327052,-4296734,-3282929,-3311449,-2618530,-3114686,-2949846,-8388608,1404688522.402,0
-327150,-4295455,-3280832,-3309649,-2617894,-3112908,-2947972,-8388608,1404688522.418,0
-326844,-4296954,-3283126,-3311936,-2618655,-3114984,-2950146,-8388608,1404688522.418,0
